               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.076643,             0.15902,                   0,             0.33079,             0.31461,              0.3232,             0.10354,            0.073365,             0.10133,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.074368,             0.14557,                   0,             0.33079,             0.31461,              0.3232,             0.10354,            0.073365,             0.10133,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.073902,             0.15664,                   0,             0.33079,             0.31461,              0.3232,             0.10354,            0.073365,             0.10133,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.074608,             0.14801,                   0,             0.36765,             0.30706,             0.32075,             0.10246,            0.072897,            0.099703,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.072362,             0.15321,                   0,             0.36765,             0.30706,             0.32075,             0.10246,            0.072897,            0.099703,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.074378,             0.15653,                   0,             0.37429,             0.37079,             0.33203,            0.095437,            0.072357,            0.098733,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.071578,             0.14651,                   0,             0.37429,             0.37079,             0.33203,            0.095437,            0.072357,            0.098733,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.067939,             0.13337,                   0,             0.37429,             0.37079,             0.33203,            0.095437,            0.072357,            0.098733,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.070808,             0.12922,                   0,             0.37029,             0.38202,             0.37332,             0.12051,            0.071014,            0.098131,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.069607,             0.14086,                   0,             0.37029,             0.38202,             0.37332,             0.12051,            0.071014,            0.098131,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.070678,             0.14502,                   0,             0.37029,             0.38202,             0.37332,             0.12051,            0.071014,            0.098131,                   0,             0.00208,             0.00208,             0.00208
                  50,             0.07032,             0.14614,                   0,             0.40955,             0.35955,             0.37363,             0.13554,            0.069646,            0.097275,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.066083,             0.12189,                   0,             0.40955,             0.35955,             0.37363,             0.13554,            0.069646,            0.097275,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.069563,             0.13429,                   0,             0.40955,             0.35955,             0.37363,             0.13554,            0.069646,            0.097275,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.066773,             0.11505,                   0,             0.35401,             0.49438,             0.40173,             0.13967,            0.068512,            0.098202,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.065461,             0.13888,                   0,             0.35401,             0.49438,             0.40173,             0.13967,            0.068512,            0.098202,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.066729,             0.13569,                   0,             0.35401,             0.49438,             0.40173,             0.13967,            0.068512,            0.098202,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.066913,             0.13967,                   0,             0.35385,             0.47381,             0.40402,             0.13922,            0.068482,             0.09662,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.066749,             0.14435,                   0,             0.35385,             0.47381,             0.40402,             0.13922,            0.068482,             0.09662,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.068129,             0.12802,                   0,             0.35385,             0.47381,             0.40402,             0.13922,            0.068482,             0.09662,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.065788,             0.11979,                   0,             0.46212,             0.38202,             0.41637,             0.15526,            0.068092,            0.096214,                   0,             0.00043,             0.00043,             0.00043
